Sentence,konu
gol oldu,1
Bu ülke her yıl seçime gidemez ki dünyanın her yerinde erken seçim göremezsiniz bu geri kalmışlık alametidir,0
Yenilenme süreci tamamlanırken 2019 tarihinde,0
Kemal kılıçdaroğlu erken seçim istiyor,0
Olası göç dalgası Avrupa’da nasıl yankı bulacak,0
İdlib’de sivillere yönelik saldırılar sürüyor,0
neden endirekt Serbest Vuruş verildiği konusunda itirazlar var,1
Türkiye’nin Doğu Akdeniz için diplomatik girişimleri,0
Berlin Zirvesi Libya’ya siyasi çözüm getirecek mi?,0
Yeni nesil siyasi tercihlerini neye göre belirliyor?,0
penaltı vuruşundan kazandırdığı golle öne geçmişti,1
penaltı kullanıldı,1
Konuklardan Hakan Bayrakçı Yeni nesil çeşitli konuları inceleyip oy kullanma alışkanlıkları ona göre geliştiriyorlar dedi,0
Yeni nesil komple solcu ve Atatürkçü CHP açık ara iktidar olacak,0
Yeni neslin kriterleri çok farklı,0
Ankaragücü karşılaşmanın 17 dakikasında penaltı vuruşu ile öne geçmişti,1
Haberin merkezinden ATV'nin haberin merkezine hoşgeldiniz. Bugün,0
Devlet Bahçeli koruma ekibi Çankırı mitingi,0
CHP lideri Kılıçdaroğlu'ndan tepki geldi,0
önceliğini baroların protesto yürüyüşüne verdi,0
Güzel günler göreceğiz Türkiye Cumhuriyeti vatandaşları karanlık yıllar elbet aydınlanacak  yanlızca Allah'a kulluk eden değerli insanlarımız var,0
seçim olsa hangi partiye oy verirdin,0
yerel seçimler öncesi yeni politikaları,0
Atatürk,0
Türkiye’de geçen sene cumhuriyet tarihinin hem enflasyon,0
hem ekonomik küçülme rekoru kırılmıştır,0
tek millet demek o millet içerisindeki bütün farklılıkların,0
ulus devletler değişik modellere sahiptir,0
milletvekili andı edliyor,0
referanduma sunuldu,0
referandumda tartışılıyor,0
demokratik ulus tanımı,0
bu ülkenin vatandaşlarından,0
Kürtleri ve Türkleri tanıyorum,0
yerel seçimler yaklaşıyor,0
sayın cumhur başkanı,0
yerel seçimlerde AK Parti'den aday adayı oldu,0
belediye başkan adaylığı,0
İstanbul millet vekili,0
Galatasaray Gaziantep futbol klubü karşı karşıya Galataray ilk yarıyı önde kapatmıştı,1
İkinci yarı bambaşka bir Galatasaray var,1
Ahmet'in kırmızı kart görmesinden sonra Galataray darmadağın oldu diyebiliriz,1
Galataray yedek klübesi ayağa kalktı ve itirazlar vardı,1
Fatih Terim teknik direktör Fatih Terim itirazlarda bulundu sevgili seyirciler,1
Karşılaşmanın hakemi bir anda vara gitti,1
Pozisyonu izledikten sonra golü geçersiz saydı,1
Şimdi skor 32 ama şimdi Gaziantep yönetimi itirazlar vardı,1
Hakem işaretini şimdi verdi.,1
33 lük beraberlik 90 artı 5,1
Evet Maç şu anda bitti,1
bu Galatasaray'a 90 artı 14 Şoku Oldu,1
Trabzon maçından biraz daha zor çünkü Alanya daha biraz güçlü takım,1
topu eline alıp dışarı çıkarması 28 saniye.,1
hakeme baskı var,1
Bu çocuk neden vara gitmedi,1
%100 penaltı,1
serbest vuruştan golü bulmuş Maçın hakemi,1
Cristiano Ronaldo'dan ibrahimoviç'e varan Yıldız futbolcular,1
Almanya'ya karşı attığı bu golle şut konusunda en iyi olduğunu ortaya koyuyor,1
orta sahadan topu filelere yolluyor,1
İngiliz futbolunun Yıldızı Steve Gerrard,1
Real Madrid forması giyen ünlü futbolcu,1
harika goller izliyoruz işte Premier Lig bu,1
güzel bir çalım hareketi olur,1
Fenerbahçe yönetim mutlaka bir açıklama yapar konu ile ilgili,1
harika bir transfer boşta olan bir oyuncu 1.8 milyon euro,1
Beşiktaş Onu doğru bir biçimde kadroda biçimlendirilirse,1
tam bir orta saha oyuncusudur 433 formasyonunda,1
tam bir milli takım oyunu,1
menajer Caner Beşiktaş'tan ayrılacak,1
ligde kalma açısından çok kritik bir mücadele,1
Ankaragücü karşılaşmanın 17 dakikasında penaltı vuruşu ile öne geçmişti,1
2 Birlik üstünlüğü var Medipol Başakşehir,1
bu pozisyonda sarı kart gören,1
bu pozisyonda kırmızı kart gören,1
önümüzdeki hafta oynanacak Galataray mücadelesinde forma giymeyecek,1
soyunma odasına bir sıfırlık üstünlükle giden,1
kaleciden dönen top tamamladı skora dengeyi getirdi,1
2 Birlik Başakşehir üstünlüğünü belirledi,1
takım olarak iyi çalıştığımızı düşünüyorum ve açıkçası oynadığımız oyunla hayal kırıklığına uğradık,1
rakibimiz attı ve kazandı,1
Bursaspor'un formasında da armasını taşıyan her oyuncunun daha fazla gayret göstermesi gerektiğine inanıyorum,1
çok fazla pozisyon üretemedik,1
kalan 5 hafta da elimizden geleni yapacağız,1
Göztepe küme düştü,1
Türk tribün tarihinin efsane deplasmanından görüntüler,1
basın toplantısında gergin anlar yaşandı basın açıklaması yapan teknik direktör bir gazetecinin üzerine yürüyerek,1
frikik çekti,1





